given_name,last_name,institution,first,last,orcid
Marc,Parlange,Monash University,Marc,Parlange,0000-0001-6972-4371
Brian,Yates,University of Tasmania,Brian,Yates,0000-0001-9663-3301
Adrian,Sheppard,Australian National University,NA,NA,NA
Jeffrey,Reimers,"University of Technology, Sydney",NA,NA,NA
Timothy,Garoni,Monash University,NA,NA,NA
Maria,Forsyth,Deakin University,Maria,Forsyth,0000-0002-4273-8105
Adam,Trevitt,University of Wollongong,NA,NA,NA
Serdar,Kuyucak,University of Sydney,NA,NA,NA
Anna,Herring,Australian National University,Anna,Herring,0000-0002-9403-9779
Andrew,Neely,University of New South Wales,NA,NA,NA
Khandis,Blake,University of New South Wales,NA,NA,NA
Allan,Canty,University of Tasmania,NA,NA,NA
Ravi,Jagadeeshan,Monash University,Ravi,Jagadeeshan,0000-0002-1702-6392
Neha,Gandhi,Queensland University of Technology,NA,NA,NA
Ziqi,Sun,Queensland University of Technology,NA,NA,NA
Ian,Dance,University of New South Wales,NA,NA,NA
Jatin,Kala,Murdoch University,Jatin,kala,0000-0001-9338-2965
Jenny,Fisher,University of Wollongong,Jenny,Fisher,0000-0002-2921-1691
Joseph,Horvat,University of Wollongong,Joseph ,Horvat,0000-0002-4008-9842
LiangChi,Zhang,University of New South Wales,NA,NA,NA
Claudio,Cazorla,University of New South Wales,NA,NA,NA
Elizabeth,Krenske,University of Queensland,NA,NA,NA
Luming,Shen,University of Sydney,Luming,Shen,0000-0001-6243-4304
Chenghua,Sun,Swinburne University of Technology,NA,NA,NA
Timothy,Trudgian,University of New South Wales,NA,NA,NA
Petra,Heil,University of Tasmania,Petra,Heil,0000-0003-2078-0342
John,Miners,Flinders University,john,miners,0000-0001-9555-9453
David,Huang,University of Adelaide,David,Huang,0000-0002-1431-8859
Claire,Vincent,University of Melbourne,NA,NA,NA
Peter,Rayner,University of Melbourne,Peter,Rayner,0000-0001-7707-6298
Klaus,Regenauer-lieb,University of New South Wales,Klaus,Regenauer-Lieb,0000-0002-2198-5895
Anatoli,Kheifets,Australian National University,NA,NA,NA
Peter,Gill,University of Sydney,Peter Richard,Gill,0000-0001-7772-4849
Elizabeth,Ritchie-Tyo,University of New South Wales,NA,NA,NA
Thi,Ta,University of Wollongong,NA,NA,NA
Joel,Brugger,Monash University,NA,NA,NA
Matthew,Whiting,CSIRO,Matthew,Whiting,0000-0003-1160-2077
Patrick,Burr,University of New South Wales,NA,NA,NA
Natasha,Hurley-Walker,Curtin University of Technology,Natasha,Hurley-Walker,0000-0002-5119-4808
Aibing,Yu,Monash University,Aibing,Yu,0000-0002-5139-0657
Tim,Gould,Griffith University,NA,NA,NA
Fangbao,Tian,University of New South Wales,NA,NA,NA
Yuan,Mei,CSIRO,Yuan,Mei,0000-0001-6251-3483
Mark,Agostino,Curtin University of Technology,Mark,Agostino,0000-0002-1799-0392
Xihong,Zhang,Curtin University of Technology,Xihong,Zhang,0000-0002-8667-4692
Roger,Huerlimann,James Cook University,Roger,Huerlimann,0000-0002-6020-334X
Paul,Hancock,Curtin University of Technology,Paul,Hancock,0000-0002-4203-2946
Tim,Silk,Deakin University,NA,NA,NA
Naotsugu,Tsuchiya,Monash University,NA,NA,NA
Barry,Doyle,University of Western Australia,Barry ,Doyle,0000-0003-4923-2796
Paul,Cally,Monash University,Paul,Cally,0000-0001-5794-8810
Andrew,Melatos,University of Melbourne,Andrew,Melatos,0000-0003-4642-141X
Gregory,Lumpkin,Other Australian Government Department,NA,NA,NA
Lei,Wang,University of Wollongong,Lei,Wang,0000-0002-8600-7099
Ivan,Lee,University of South Australia,Ivan,Lee,0000-0002-2826-6367
Marc,Wilkins,University of New South Wales,NA,NA,NA
Alexandra,Pavlova,Monash University,Alexandra,Pavlova,0000-0001-9455-4124
Alexander,Mikheyev,Australian National University,NA,NA,NA
